HOUR,MIN,SEC,GDLAT,GLON,TEC,DTEC
0,2,30,-79,62,12.3498,1.34178
0,2,30,-79,130,15.3943,1.30848
0,2,30,-79,134,16.0648,0.50256
0,2,30,-79,137,15.9125,0.551695
0,2,30,-79,158,12.9413,1.30472
0,2,30,-79,164,12.6544,1.31685
0,2,30,-79,169,10.8296,1.30458
0,2,30,-79,174,12.3906,1.33558
0,2,30,-79,178,13.0515,0.468547
0,2,30,-78,-169,14.3565,1.31793
0,2,30,-78,-166,16.7356,1.34267
0,2,30,-78,-163,17.8582,1.33364
0,2,30,-78,-160,17.7168,0.935132
0,2,30,-78,-128,20.0717,1.30834
0,2,30,-78,-125,16.9308,1.30381
0,2,30,-78,-116,23.19,1.32908
0,2,30,-78,-108,17.0123,0.921527
0,2,30,-78,-104,20.1415,4.17773
0,2,30,-78,-101,19.6969,1.30274
0,2,30,-78,-94,23.5178,1.38891
0,2,30,-78,-82,19.5779,1.30372
0,2,30,-78,-75,16.3479,1.30655
0,2,30,-78,-70,14.7444,1.30599
0,2,30,-78,-62,11.5387,1.3022
0,2,30,-78,-41,14.8155,1.30391
0,2,30,-78,-38,15.3388,1.30702
0,2,30,-78,-33,12.3612,1.30905
0,2,30,-78,-30,12.8975,0.927239
0,2,30,-78,-22,15.1572,1.49787
0,2,30,-78,131,17.6928,1.35239
0,2,30,-78,134,15.7995,0.782967
0,2,30,-78,144,14.1568,1.30909
0,2,30,-78,147,13.4084,1.30519
0,2,30,-78,155,12.514,1.34522
0,2,30,-78,161,12.9059,1.30912
0,2,30,-78,172,12.9337,1.31394
0,2,30,-78,175,13.7902,1.38479
0,2,30,-78,178,13.3059,1.34662
0,2,30,-77,-169,15.5789,0.66084
0,2,30,-77,-166,16.728,0.387631
0,2,30,-77,-163,16.5735,1.76297
0,2,30,-77,-160,17.2685,1.31069
0,2,30,-77,-131,21.0703,1.3044
0,2,30,-77,-125,17.3004,1.3077
0,2,30,-77,-117,25.1425,1.94211
0,2,30,-77,-112,23.214,1.30228
0,2,30,-77,-108,21.4558,1.08956
0,2,30,-77,-103,20.6359,1.30466
0,2,30,-77,-99,26.2452,1.56093
0,2,30,-77,-96,19.2167,0.921498
0,2,30,-77,-93,19.6387,0.921752
0,2,30,-77,-90,19.9353,0.922643
0,2,30,-77,-85,18.0227,1.30268
0,2,30,-77,-82,17.7791,0.752264
0,2,30,-77,-79,15.0403,1.30283
0,2,30,-77,-73,14.1895,0.926503
0,2,30,-77,-68,12.1018,1.3024
